date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-10-28,0,0,0,0,0.0,0.0,0
2016-01-27,0,0,0,0,0.0,0.0,0
2016-02-11,0,0,0,0,0.0,0.0,0
2016-04-29,0,0,0,0,-0.1,0.6,0
2016-05-16,0,0,0,0,0.0,0.0,0
2016-07-19,0,0,0,0,0.0,0.0,0
2016-07-21,0,0,0,0,0.0,0.0,3
2016-09-06,0,0,0,0,0.0,0.0,0
2016-10-20,0,0,0,0,0.0,0.0,4
2016-12-15,0,0,0,0,0.0,0.0,0
2017-01-26,0,0,0,0,-0.258333333333,0.725,0
2017-02-08,0,0,0,0,0.0,0.4,0
2017-02-14,0,0,0,0,0.0,0.0,0
2017-03-17,0,0,0,0,0.0,0.0,0
2017-03-31,0,0,0,0,0.0,0.75,0
2017-04-04,0,0,0,0,0.0,0.0,0
2017-04-17,0,0,0,0,0.0,1.0,0
2017-04-18,0,0,0,0,0.0,0.0,0
2017-06-29,0,0,0,0,0.0,0.0,0
2017-07-17,0,0,0,0,0.0,0.0,0
2017-07-18,0,0,0,0,0.0,0.0,0
2017-07-20,0,0,0,0,0.0,0.0,0
2017-07-26,0,0,0,0,0.0,0.0,0
2017-09-28,0,0,0,0,-0.155555555556,0.288888888889,0
2017-10-03,0,1,0,0,0.0,0.0,0
2017-10-04,0,1,1,0,-0.15,0.4,0
2017-10-05,0,1,0,0,0.0,0.0,0
2017-10-06,0,0,0,0,0.16,0.64,0
2017-10-08,0,0,0,0,0.4,0.5,0
2017-10-09,0,0,0,0,0.3,0.1,0
2017-10-10,0,0,0,0,0.0,0.0,0
2017-10-11,0,1,0,0,0.0666666666667,0.733333333333,0
2017-10-12,0,2,1,0,0.2,0.6,0
2017-10-13,0,1,1,0,0.1,1.1,0
2017-10-14,0,0,0,0,0.0,0.0,0
2017-10-15,0,0,0,0,0.0,0.1,0
2017-10-16,0,2,1,0,0.95,5.3,0
