date,scandal,buy,sell,decline,positivity,subjectivity,financial_report_quarter
2015-11-18,0,0,0,0,0.0,0.0,0
2015-12-21,0,0,0,0,0.0,0.0,0
2016-01-14,0,0,0,0,0.136363636364,0.454545454545,0
2016-05-18,0,0,0,0,0.0,0.0,0
2016-06-01,0,1,0,0,0.136363636364,0.454545454545,0
2016-07-11,0,0,0,0,0.0,0.0,0
2016-07-28,0,0,0,0,0.0,0.0,0
2016-08-01,0,1,0,0,0.0,0.0,0
2016-08-31,0,0,0,0,0.0,0.0,0
2016-09-06,0,0,1,0,0.0,0.0,0
2016-09-16,0,0,0,0,0.0,0.0,0
2016-09-22,0,0,0,0,0.0,0.0,0
2016-09-23,0,0,0,0,0.0,0.3,0
2016-09-29,0,0,0,0,0.0,0.0,0
2016-10-03,0,1,0,0,0.0,0.0,0
2016-10-06,0,0,0,0,-0.0625,0.6875,0
2016-10-11,0,0,0,0,0.0,0.0,0
2016-10-14,0,0,0,0,0.342857142857,0.467857142857,0
2016-11-02,0,0,0,0,0.0,0.0,0
2016-11-17,0,0,0,0,0.0,0.0,0
2016-11-28,0,0,0,0,0.0,0.0,0
2016-12-02,0,0,0,0,0.0,0.0,0
2017-02-28,0,0,0,0,0.0,0.0,0
2017-03-06,0,0,0,0,0.0,0.0,0
2017-04-04,0,0,0,0,0.0,0.0,0
2017-04-24,0,0,0,0,0.0,0.0,0
2017-05-04,0,0,0,0,0.0,0.0,0
2017-05-18,0,0,0,0,0.0,0.0,0
2017-08-11,0,0,0,0,0.0,0.0,0
2017-08-22,0,0,0,0,0.0,0.0,3
2017-10-23,0,0,0,0,0.5,1.0,0
2017-10-30,0,0,0,0,0.0,0.0,0
2017-10-31,0,0,0,0,0.166666666667,0.333333333333,0
2017-11-02,0,0,0,0,0.4,0.4,0
2017-11-03,0,0,0,0,-0.2,0.1,0
2017-11-06,0,0,0,0,0.0363636363636,0.954545454545,0
2017-11-07,0,0,0,0,1.0,1.4,0
2017-11-08,0,0,0,0,0.25,0.5,0
2017-11-10,0,1,1,0,0.294444444444,0.438888888889,0
2017-11-12,0,0,1,0,0.5,0.5,0
2017-11-13,0,2,0,0,0.83,1.02,0
2017-11-14,0,0,2,0,2.60555555556,4.74444444444,0
2017-11-15,0,1,0,0,0.977272727273,1.89545454545,0
2017-11-16,0,1,0,0,0.0,0.0,0
