date,scandal,buy,sell,decline,positivity,subjectivity
2017-10-02,0,0,0,0,0.0,0.0
2017-10-03,0,0,0,0,-0.2,0.35
2017-10-04,0,0,0,0,0.0,0.0
2017-10-05,0,0,0,0,-0.1,0.4
2017-10-06,0,0,0,0,0.2,0.725
2017-10-08,0,0,0,0,0.0,0.0
2017-10-09,0,0,0,0,0.0944444444444,1.78888888889
2017-10-10,0,0,0,0,0.0,0.0
2017-10-11,0,0,0,0,0.0,0.0
2017-10-12,0,0,0,0,-0.6,1.05
2017-10-13,0,0,0,1,-0.05,0.233333333333
2017-10-14,0,0,0,0,0.0314814814815,0.562962962963
2017-10-15,0,1,0,0,-0.25,0.566666666667
2017-10-16,0,0,0,0,-0.175,0.45
